Start of song
Instrument: cello
Start of notes
Note: beat=22, position=0, pitch=A3, duration=3, instrument=cello
Note: beat=22, position=3, pitch=B3, duration=3, instrument=cello
Note: beat=22, position=6, pitch=G#3, duration=3, instrument=cello
Note: beat=22, position=9, pitch=A3, duration=3, instrument=cello
Note: beat=23, position=0, pitch=B3, duration=3, instrument=cello
Note: beat=23, position=3, pitch=B2, duration=3, instrument=cello
Note: beat=23, position=6, pitch=E2, duration=3, instrument=cello
Note: beat=23, position=9, pitch=E3, duration=3, instrument=cello
Note: beat=24, position=0, pitch=A2, duration=3, instrument=cello
Note: beat=24, position=3, pitch=B2, duration=3, instrument=cello
Note: beat=24, position=6, pitch=G#2, duration=3, instrument=cello
Note: beat=24, position=9, pitch=C#3, duration=3, instrument=cello
Note: beat=25, position=0, pitch=A2, duration=3, instrument=cello
Note: beat=25, position=3, pitch=B2, duration=3, instrument=cello
Note: beat=25, position=6, pitch=G#2, duration=3, instrument=cello
Note: beat=25, position=9, pitch=C#3, duration=3, instrument=cello
Note: beat=26, position=0, pitch=A2, duration=3, instrument=cello
Note: beat=26, position=3, pitch=B2, duration=3, instrument=cello
Note: beat=26, position=6, pitch=G#2, duration=3, instrument=cello
Note: beat=26, position=9, pitch=A2, duration=3, instrument=cello
Note: beat=27, position=0, pitch=B2, duration=3, instrument=cello
Note: beat=27, position=3, pitch=B2, duration=3, instrument=cello
Note: beat=27, position=6, pitch=E2, duration=6, instrument=cello
Note: beat=28, position=3, pitch=E3, duration=3, instrument=cello
Note: beat=28, position=6, pitch=D#3, duration=3, instrument=cello
Note: beat=28, position=9, pitch=B2, duration=3, instrument=cello
Note: beat=29, position=0, pitch=E3, duration=3, instrument=cello
Note: beat=29, position=3, pitch=E2, duration=3, instrument=cello
Note: beat=29, position=6, pitch=B2, duration=3, instrument=cello
Note: beat=29, position=9, pitch=A2, duration=3, instrument=cello
Note: beat=30, position=0, pitch=G#2, duration=3, instrument=cello
Note: beat=30, position=3, pitch=E3, duration=3, instrument=cello
Note: beat=30, position=6, pitch=D#3, duration=3, instrument=cello
Note: beat=30, position=9, pitch=B2, duration=3, instrument=cello
Note: beat=31, position=0, pitch=E3, duration=3, instrument=cello
Note: beat=31, position=3, pitch=E2, duration=3, instrument=cello
Note: beat=31, position=6, pitch=B2, duration=3, instrument=cello
Note: beat=31, position=9, pitch=A3, duration=3, instrument=cello
Note: beat=32, position=0, pitch=G#3, duration=3, instrument=cello
Note: beat=32, position=3, pitch=E3, duration=3, instrument=cello
Note: beat=32, position=6, pitch=A3, duration=3, instrument=cello
Note: beat=32, position=9, pitch=F#3, duration=3, instrument=cello
Note: beat=33, position=0, pitch=B3, duration=3, instrument=cello
Note: beat=33, position=3, pitch=G#3, duration=3, instrument=cello
Note: beat=33, position=6, pitch=C#4, duration=3, instrument=cello
Note: beat=33, position=9, pitch=A3, duration=3, instrument=cello
Note: beat=34, position=0, pitch=G#3, duration=3, instrument=cello
Note: beat=34, position=3, pitch=E3, duration=3, instrument=cello
Note: beat=34, position=6, pitch=A3, duration=3, instrument=cello
Note: beat=34, position=9, pitch=F#3, duration=3, instrument=cello
Note: beat=35, position=0, pitch=B3, duration=3, instrument=cello
Note: beat=35, position=3, pitch=B2, duration=3, instrument=cello
Note: beat=35, position=6, pitch=E2, duration=3, instrument=cello
Note: beat=35, position=9, pitch=E3, duration=6, instrument=cello
Note: beat=36, position=3, pitch=D#3, duration=3, instrument=cello
Note: beat=36, position=6, pitch=E3, duration=3, instrument=cello
Note: beat=36, position=9, pitch=C#3, duration=3, instrument=cello
Note: beat=37, position=0, pitch=D3, duration=3, instrument=cello
Note: beat=37, position=3, pitch=A#2, duration=3, instrument=cello
Note: beat=37, position=6, pitch=B2, duration=3, instrument=cello
Note: beat=37, position=9, pitch=B3, duration=6, instrument=cello
Note: beat=38, position=3, pitch=A#3, duration=3, instrument=cello
Note: beat=38, position=6, pitch=B3, duration=3, instrument=cello
Note: beat=38, position=9, pitch=G#3, duration=3, instrument=cello
Note: beat=39, position=0, pitch=A3, duration=3, instrument=cello
Note: beat=39, position=3, pitch=F3, duration=3, instrument=cello
Note: beat=39, position=6, pitch=F#3, duration=9, instrument=cello
Note: beat=40, position=3, pitch=A3, duration=3, instrument=cello
Note: beat=40, position=6, pitch=B3, duration=3, instrument=cello
Note: beat=40, position=9, pitch=D4, duration=3, instrument=cello
Note: beat=41, position=0, pitch=E4, duration=3, instrument=cello
Note: beat=41, position=3, pitch=G#3, duration=3, instrument=cello
Note: beat=41, position=6, pitch=A3, duration=3, instrument=cello
Note: beat=41, position=9, pitch=C#4, duration=3, instrument=cello
Note: beat=42, position=0, pitch=D4, duration=3, instrument=cello
Note: beat=42, position=3, pitch=F#3, duration=3, instrument=cello
Note: beat=42, position=6, pitch=G#3, duration=3, instrument=cello
Note: beat=42, position=9, pitch=B3, duration=3, instrument=cello
Note: beat=43, position=0, pitch=C#4, duration=3, instrument=cello
Note: beat=43, position=3, pitch=F3, duration=3, instrument=cello
Note: beat=43, position=6, pitch=F#3, duration=3, instrument=cello
Note: beat=43, position=9, pitch=C#4, duration=3, instrument=cello
Note: beat=44, position=0, pitch=A3, duration=2, instrument=cello
Note: beat=44, position=2, pitch=C#4, duration=1, instrument=cello
Note: beat=44, position=3, pitch=F#4, duration=1, instrument=cello
Note: beat=44, position=4, pitch=E4, duration=2, instrument=cello
Note: beat=44, position=6, pitch=D4, duration=2, instrument=cello
Note: beat=44, position=8, pitch=F#4, duration=1, instrument=cello
Note: beat=44, position=9, pitch=B3, duration=1, instrument=cello
Note: beat=44, position=10, pitch=D4, duration=2, instrument=cello
Note: beat=45, position=0, pitch=G#3, duration=2, instrument=cello
Note: beat=45, position=2, pitch=B3, duration=1, instrument=cello
Note: beat=45, position=3, pitch=E4, duration=1, instrument=cello
Note: beat=45, position=4, pitch=D4, duration=2, instrument=cello
Note: beat=45, position=6, pitch=C#4, duration=2, instrument=cello
Note: beat=45, position=8, pitch=E4, duration=1, instrument=cello
Note: beat=45, position=9, pitch=A3, duration=1, instrument=cello
Note: beat=45, position=10, pitch=C#4, duration=2, instrument=cello
Note: beat=46, position=0, pitch=F#3, duration=2, instrument=cello
Note: beat=46, position=2, pitch=A3, duration=1, instrument=cello
Note: beat=46, position=3, pitch=D4, duration=1, instrument=cello
Note: beat=46, position=4, pitch=C#4, duration=2, instrument=cello
Note: beat=46, position=6, pitch=B3, duration=2, instrument=cello
Note: beat=46, position=8, pitch=D4, duration=1, instrument=cello
Note: beat=46, position=9, pitch=G#3, duration=1, instrument=cello
Note: beat=46, position=10, pitch=B3, duration=2, instrument=cello
Note: beat=47, position=0, pitch=F3, duration=2, instrument=cello
Note: beat=47, position=2, pitch=G#3, duration=1, instrument=cello
Note: beat=47, position=3, pitch=C#4, duration=1, instrument=cello
Note: beat=47, position=4, pitch=B3, duration=2, instrument=cello
Note: beat=47, position=6, pitch=A3, duration=3, instrument=cello
Note: beat=47, position=9, pitch=F#3, duration=3, instrument=cello
Note: beat=48, position=0, pitch=B3, duration=3, instrument=cello
Note: beat=48, position=3, pitch=C#4, duration=3, instrument=cello
Note: beat=48, position=6, pitch=A3, duration=3, instrument=cello
Note: beat=48, position=9, pitch=D4, duration=3, instrument=cello
Note: beat=49, position=0, pitch=B3, duration=3, instrument=cello
Note: beat=49, position=3, pitch=C#4, duration=3, instrument=cello
Note: beat=49, position=6, pitch=A3, duration=3, instrument=cello
Note: beat=49, position=9, pitch=D4, duration=3, instrument=cello
Note: beat=50, position=0, pitch=B3, duration=3, instrument=cello
Note: beat=50, position=3, pitch=C#4, duration=3, instrument=cello
Note: beat=50, position=6, pitch=A3, duration=3, instrument=cello
Note: beat=50, position=9, pitch=B3, duration=3, instrument=cello
Note: beat=51, position=0, pitch=C#4, duration=3, instrument=cello
Note: beat=51, position=3, pitch=C#3, duration=3, instrument=cello
Note: beat=51, position=6, pitch=F#2, duration=3, instrument=cello
Note: beat=51, position=9, pitch=F#3, duration=3, instrument=cello
Note: beat=52, position=0, pitch=B2, duration=3, instrument=cello
Note: beat=52, position=3, pitch=C#3, duration=3, instrument=cello
Note: beat=52, position=6, pitch=A2, duration=3, instrument=cello
Note: beat=52, position=9, pitch=D3, duration=3, instrument=cello
Note: beat=53, position=0, pitch=B2, duration=3, instrument=cello
Note: beat=53, position=3, pitch=C#3, duration=3, instrument=cello
Note: beat=53, position=6, pitch=A2, duration=3, instrument=cello
Note: beat=53, position=9, pitch=D3, duration=3, instrument=cello
Note: beat=54, position=0, pitch=B2, duration=3, instrument=cello
Note: beat=54, position=3, pitch=C#3, duration=3, instrument=cello
Note: beat=54, position=6, pitch=A2, duration=3, instrument=cello
Note: beat=54, position=9, pitch=B2, duration=3, instrument=cello
Note: beat=55, position=0, pitch=C#3, duration=3, instrument=cello
Note: beat=55, position=3, pitch=C#3, duration=3, instrument=cello
Note: beat=55, position=6, pitch=F#2, duration=2, instrument=cello
Note: beat=55, position=8, pitch=F#3, duration=1, instrument=cello
Note: beat=55, position=9, pitch=E3, duration=1, instrument=cello
Note: beat=55, position=10, pitch=D3, duration=2, instrument=cello
Note: beat=56, position=0, pitch=C#3, duration=3, instrument=cello
Note: beat=56, position=3, pitch=A3, duration=3, instrument=cello
Note: beat=56, position=6, pitch=G#3, duration=3, instrument=cello
Note: beat=56, position=9, pitch=E3, duration=3, instrument=cello
Note: beat=57, position=0, pitch=A3, duration=3, instrument=cello
Note: beat=57, position=3, pitch=A2, duration=3, instrument=cello
Note: beat=57, position=6, pitch=E3, duration=3, instrument=cello
Note: beat=57, position=9, pitch=D3, duration=3, instrument=cello
Note: beat=58, position=0, pitch=C#3, duration=3, instrument=cello
Note: beat=58, position=3, pitch=A3, duration=3, instrument=cello
Note: beat=58, position=6, pitch=G#3, duration=3, instrument=cello
Note: beat=58, position=9, pitch=E3, duration=3, instrument=cello
Note: beat=59, position=0, pitch=A3, duration=3, instrument=cello
Note: beat=59, position=3, pitch=A2, duration=3, instrument=cello
Note: beat=59, position=6, pitch=E3, duration=3, instrument=cello
Note: beat=59, position=9, pitch=D4, duration=3, instrument=cello
Note: beat=60, position=0, pitch=C#4, duration=3, instrument=cello
Note: beat=60, position=3, pitch=A3, duration=3, instrument=cello
Note: beat=60, position=6, pitch=D4, duration=3, instrument=cello
Note: beat=60, position=9, pitch=F#4, duration=3, instrument=cello
Note: beat=61, position=0, pitch=C#4, duration=3, instrument=cello
Note: beat=61, position=3, pitch=A3, duration=3, instrument=cello
Note: beat=61, position=6, pitch=D4, duration=3, instrument=cello
Note: beat=61, position=9, pitch=F#4, duration=3, instrument=cello
Note: beat=62, position=0, pitch=D#4, duration=3, instrument=cello
Note: beat=62, position=3, pitch=B3, duration=3, instrument=cello
Note: beat=62, position=6, pitch=E4, duration=3, instrument=cello
Note: beat=62, position=9, pitch=G#4, duration=3, instrument=cello
Note: beat=63, position=0, pitch=D#4, duration=3, instrument=cello
Note: beat=63, position=3, pitch=B3, duration=3, instrument=cello
Note: beat=63, position=6, pitch=E3, duration=6, instrument=cello
Note: beat=64, position=0, pitch=A3, duration=3, instrument=cello
Note: beat=64, position=3, pitch=C#4, duration=3, instrument=cello
Note: beat=64, position=6, pitch=D4, duration=3, instrument=cello
Note: beat=64, position=9, pitch=F#3, duration=3, instrument=cello
Note: beat=65, position=0, pitch=G#3, duration=3, instrument=cello
Note: beat=65, position=3, pitch=B3, duration=3, instrument=cello
Note: beat=65, position=6, pitch=C#4, duration=3, instrument=cello
Note: beat=65, position=9, pitch=E3, duration=3, instrument=cello
Note: beat=66, position=0, pitch=F#3, duration=3, instrument=cello
Note: beat=66, position=3, pitch=A3, duration=3, instrument=cello
Note: beat=66, position=6, pitch=B3, duration=3, instrument=cello
Note: beat=66, position=9, pitch=D3, duration=3, instrument=cello
Note: beat=67, position=0, pitch=E3, duration=3, instrument=cello
Note: beat=67, position=3, pitch=G#3, duration=3, instrument=cello
Note: beat=67, position=6, pitch=A3, duration=2, instrument=cello
Note: beat=67, position=8, pitch=E4, duration=1, instrument=cello
Note: beat=67, position=9, pitch=D#4, duration=1, instrument=cello
Note: beat=67, position=10, pitch=E4, duration=2, instrument=cello
Note: beat=68, position=0, pitch=C#4, duration=2, instrument=cello
Note: beat=68, position=2, pitch=E4, duration=1, instrument=cello
Note: beat=68, position=3, pitch=A3, duration=1, instrument=cello
Note: beat=68, position=4, pitch=C#4, duration=2, instrument=cello
Note: beat=68, position=6, pitch=F#3, duration=2, instrument=cello
Note: beat=68, position=8, pitch=D4, duration=1, instrument=cello
Note: beat=68, position=9, pitch=C#4, duration=1, instrument=cello
Note: beat=68, position=10, pitch=D4, duration=2, instrument=cello
Note: beat=69, position=0, pitch=B3, duration=2, instrument=cello
Note: beat=69, position=2, pitch=D4, duration=1, instrument=cello
Note: beat=69, position=3, pitch=G#3, duration=1, instrument=cello
Note: beat=69, position=4, pitch=B3, duration=2, instrument=cello
Note: beat=69, position=6, pitch=E3, duration=2, instrument=cello
Note: beat=69, position=8, pitch=C#4, duration=1, instrument=cello
Note: beat=69, position=9, pitch=B3, duration=1, instrument=cello
Note: beat=69, position=10, pitch=C#4, duration=2, instrument=cello
Note: beat=70, position=0, pitch=A3, duration=2, instrument=cello
Note: beat=70, position=2, pitch=C#4, duration=1, instrument=cello
Note: beat=70, position=3, pitch=F#3, duration=1, instrument=cello
Note: beat=70, position=4, pitch=A3, duration=2, instrument=cello
Note: beat=70, position=6, pitch=D3, duration=2, instrument=cello
Note: beat=70, position=8, pitch=B3, duration=1, instrument=cello
Note: beat=70, position=9, pitch=A3, duration=1, instrument=cello
Note: beat=70, position=10, pitch=B3, duration=2, instrument=cello
Note: beat=71, position=0, pitch=G#3, duration=2, instrument=cello
Note: beat=71, position=2, pitch=B3, duration=1, instrument=cello
