Start of song
Instrument: viola
Start of notes
Note: beat=28, position=9, pitch=G4, duration=1, instrument=viola
Note: beat=28, position=10, pitch=F#4, duration=2, instrument=viola
Note: beat=29, position=0, pitch=B4, duration=3, instrument=viola
Note: beat=29, position=3, pitch=B3, duration=3, instrument=viola
Note: beat=29, position=6, pitch=A4, duration=6, instrument=viola
Note: beat=30, position=0, pitch=G4, duration=3, instrument=viola
Note: beat=30, position=3, pitch=F#4, duration=1, instrument=viola
Note: beat=30, position=4, pitch=E4, duration=2, instrument=viola
Note: beat=30, position=6, pitch=F#4, duration=3, instrument=viola
Note: beat=30, position=9, pitch=D4, duration=3, instrument=viola
Note: beat=31, position=0, pitch=C#4, duration=6, instrument=viola
Note: beat=31, position=6, pitch=D4, duration=6, instrument=viola
Note: beat=32, position=0, pitch=E4, duration=3, instrument=viola
Note: beat=32, position=3, pitch=A4, duration=3, instrument=viola
Note: beat=32, position=6, pitch=F#4, duration=3, instrument=viola
Note: beat=32, position=9, pitch=D4, duration=3, instrument=viola
Note: beat=33, position=0, pitch=A3, duration=6, instrument=viola
Note: beat=33, position=6, pitch=A4, duration=6, instrument=viola
Note: beat=34, position=0, pitch=A4, duration=3, instrument=viola
Note: beat=34, position=3, pitch=G4, duration=1, instrument=viola
Note: beat=34, position=4, pitch=F#4, duration=2, instrument=viola
Note: beat=34, position=6, pitch=G4, duration=3, instrument=viola
Note: beat=34, position=9, pitch=F#4, duration=1, instrument=viola
Note: beat=34, position=10, pitch=E4, duration=2, instrument=viola
Note: beat=35, position=0, pitch=F#4, duration=3, instrument=viola
Note: beat=35, position=3, pitch=E4, duration=1, instrument=viola
Note: beat=35, position=4, pitch=D4, duration=2, instrument=viola
Note: beat=35, position=6, pitch=E4, duration=3, instrument=viola
Note: beat=35, position=9, pitch=D4, duration=1, instrument=viola
Note: beat=35, position=10, pitch=C#4, duration=2, instrument=viola
Note: beat=36, position=0, pitch=D4, duration=3, instrument=viola
Note: beat=36, position=3, pitch=F#3, duration=3, instrument=viola
Note: beat=36, position=6, pitch=G3, duration=3, instrument=viola
Note: beat=36, position=9, pitch=A3, duration=3, instrument=viola
Note: beat=37, position=0, pitch=D3, duration=6, instrument=viola
Note: beat=38, position=0, pitch=D4, duration=3, instrument=viola
Note: beat=38, position=3, pitch=G4, duration=6, instrument=viola
Note: beat=38, position=9, pitch=F#4, duration=3, instrument=viola
Note: beat=39, position=0, pitch=B3, duration=3, instrument=viola
Note: beat=39, position=3, pitch=E4, duration=6, instrument=viola
Note: beat=39, position=9, pitch=D4, duration=3, instrument=viola
Note: beat=40, position=0, pitch=G3, duration=3, instrument=viola
Note: beat=40, position=3, pitch=C4, duration=6, instrument=viola
Note: beat=40, position=9, pitch=B3, duration=3, instrument=viola
Note: beat=41, position=0, pitch=E4, duration=6, instrument=viola
Note: beat=41, position=6, pitch=D4, duration=6, instrument=viola
Note: beat=42, position=0, pitch=C4, duration=3, instrument=viola
Note: beat=42, position=3, pitch=B3, duration=1, instrument=viola
