Start of song
Instrument: viola
Start of notes
Note: beat=46, position=0, pitch=F3, duration=12, instrument=viola
Note: beat=47, position=0, pitch=A3, duration=12, instrument=viola
Note: beat=48, position=0, pitch=A#3, duration=12, instrument=viola
Note: beat=50, position=0, pitch=D#4, duration=12, instrument=viola
Note: beat=51, position=0, pitch=D4, duration=6, instrument=viola
Note: beat=51, position=6, pitch=G4, duration=6, instrument=viola
Note: beat=52, position=0, pitch=F4, duration=6, instrument=viola
Note: beat=52, position=6, pitch=D#4, duration=12, instrument=viola
Note: beat=53, position=6, pitch=D4, duration=3, instrument=viola
Note: beat=53, position=9, pitch=C4, duration=3, instrument=viola
Note: beat=54, position=0, pitch=D4, duration=3, instrument=viola
Note: beat=54, position=3, pitch=F4, duration=3, instrument=viola
Note: beat=54, position=6, pitch=D#4, duration=3, instrument=viola
Note: beat=54, position=9, pitch=D4, duration=3, instrument=viola
Note: beat=55, position=0, pitch=G4, duration=3, instrument=viola
Note: beat=55, position=3, pitch=F4, duration=3, instrument=viola
Note: beat=55, position=6, pitch=D#4, duration=3, instrument=viola
Note: beat=55, position=9, pitch=D4, duration=3, instrument=viola
Note: beat=56, position=0, pitch=C4, duration=6, instrument=viola
Note: beat=56, position=6, pitch=G3, duration=6, instrument=viola
Note: beat=57, position=0, pitch=B3, duration=6, instrument=viola
Note: beat=57, position=6, pitch=G3, duration=6, instrument=viola
Note: beat=58, position=0, pitch=D4, duration=6, instrument=viola
Note: beat=58, position=6, pitch=G3, duration=6, instrument=viola
Note: beat=59, position=0, pitch=C4, duration=24, instrument=viola
Note: beat=61, position=0, pitch=B3, duration=12, instrument=viola
Note: beat=62, position=0, pitch=C4, duration=6, instrument=viola
Note: beat=62, position=6, pitch=D4, duration=3, instrument=viola
Note: beat=62, position=9, pitch=D#4, duration=3, instrument=viola
Note: beat=63, position=0, pitch=D4, duration=12, instrument=viola
Note: beat=64, position=0, pitch=F4, duration=6, instrument=viola
Note: beat=64, position=6, pitch=D4, duration=3, instrument=viola
Note: beat=64, position=9, pitch=F4, duration=3, instrument=viola
Note: beat=65, position=0, pitch=D#4, duration=6, instrument=viola
Note: beat=65, position=6, pitch=C4, duration=3, instrument=viola
Note: beat=65, position=9, pitch=D#4, duration=3, instrument=viola
Note: beat=66, position=0, pitch=D4, duration=6, instrument=viola
Note: beat=66, position=6, pitch=G#4, duration=6, instrument=viola
Note: beat=67, position=0, pitch=G4, duration=6, instrument=viola
Note: beat=67, position=6, pitch=F4, duration=6, instrument=viola
Note: beat=68, position=0, pitch=D#4, duration=6, instrument=viola
Note: beat=68, position=6, pitch=D4, duration=3, instrument=viola
Note: beat=68, position=9, pitch=C4, duration=3, instrument=viola
Note: beat=69, position=0, pitch=B3, duration=6, instrument=viola
Note: beat=69, position=6, pitch=C4, duration=3, instrument=viola
Note: beat=69, position=9, pitch=D4, duration=3, instrument=viola
Note: beat=70, position=0, pitch=G3, duration=36, instrument=viola
Note: beat=75, position=0, pitch=F4, duration=18, instrument=viola
Note: beat=76, position=6, pitch=G4, duration=3, instrument=viola
Note: beat=76, position=9, pitch=F4, duration=3, instrument=viola
Note: beat=77, position=0, pitch=E4, duration=6, instrument=viola
Note: beat=77, position=6, pitch=D4, duration=6, instrument=viola
Note: beat=78, position=0, pitch=C#4, duration=6, instrument=viola
Note: beat=78, position=6, pitch=A3, duration=6, instrument=viola
Note: beat=79, position=0, pitch=E4, duration=6, instrument=viola
Note: beat=79, position=6, pitch=A3, duration=6, instrument=viola
Note: beat=80, position=0, pitch=A4, duration=6, instrument=viola
Note: beat=80, position=6, pitch=A3, duration=6, instrument=viola
Note: beat=81, position=0, pitch=D4, duration=6, instrument=viola
Note: beat=81, position=6, pitch=D3, duration=6, instrument=viola
Note: beat=82, position=0, pitch=G3, duration=12, instrument=viola
Note: beat=84, position=0, pitch=A3, duration=12, instrument=viola
Note: beat=86, position=0, pitch=F3, duration=12, instrument=viola
Note: beat=88, position=0, pitch=A#3, duration=3, instrument=viola
Note: beat=88, position=3, pitch=A3, duration=3, instrument=viola
Note: beat=88, position=6, pitch=G3, duration=3, instrument=viola
Note: beat=88, position=9, pitch=F3, duration=3, instrument=viola
Note: beat=89, position=0, pitch=E3, duration=6, instrument=viola
Note: beat=89, position=6, pitch=D3, duration=6, instrument=viola
Note: beat=90, position=0, pitch=C#4, duration=6, instrument=viola
Note: beat=90, position=6, pitch=D4, duration=3, instrument=viola
Note: beat=90, position=9, pitch=E4, duration=3, instrument=viola
Note: beat=91, position=0, pitch=A3, duration=6, instrument=viola
