Start of song
Instrument: harpsichord
Start of notes
Note: beat=16, position=0, pitch=A3, duration=3, instrument=harpsichord
Note: beat=16, position=3, pitch=C4, duration=3, instrument=harpsichord
Note: beat=16, position=6, pitch=E4, duration=3, instrument=harpsichord
Note: beat=16, position=9, pitch=G4, duration=3, instrument=harpsichord
Note: beat=17, position=0, pitch=F#4, duration=2, instrument=harpsichord
Note: beat=17, position=2, pitch=A4, duration=1, instrument=harpsichord
Note: beat=17, position=3, pitch=D4, duration=1, instrument=harpsichord
Note: beat=17, position=4, pitch=F#4, duration=2, instrument=harpsichord
Note: beat=17, position=6, pitch=A3, duration=2, instrument=harpsichord
Note: beat=17, position=8, pitch=D4, duration=1, instrument=harpsichord
Note: beat=17, position=9, pitch=F#3, duration=1, instrument=harpsichord
Note: beat=17, position=10, pitch=A3, duration=2, instrument=harpsichord
Note: beat=18, position=0, pitch=G3, duration=3, instrument=harpsichord
Note: beat=18, position=3, pitch=B3, duration=3, instrument=harpsichord
Note: beat=18, position=6, pitch=D4, duration=3, instrument=harpsichord
Note: beat=18, position=9, pitch=F#4, duration=3, instrument=harpsichord
Note: beat=19, position=0, pitch=E4, duration=2, instrument=harpsichord
Note: beat=19, position=2, pitch=G4, duration=1, instrument=harpsichord
Note: beat=19, position=3, pitch=C4, duration=1, instrument=harpsichord
Note: beat=19, position=4, pitch=E4, duration=2, instrument=harpsichord
Note: beat=19, position=6, pitch=G3, duration=2, instrument=harpsichord
Note: beat=19, position=8, pitch=C4, duration=1, instrument=harpsichord
Note: beat=19, position=9, pitch=E3, duration=1, instrument=harpsichord
Note: beat=19, position=10, pitch=G3, duration=2, instrument=harpsichord
Note: beat=20, position=0, pitch=F#3, duration=3, instrument=harpsichord
Note: beat=20, position=3, pitch=A3, duration=3, instrument=harpsichord
Note: beat=20, position=6, pitch=B3, duration=3, instrument=harpsichord
Note: beat=20, position=9, pitch=D#4, duration=3, instrument=harpsichord
Note: beat=21, position=2, pitch=E4, duration=1, instrument=harpsichord
Note: beat=21, position=3, pitch=C4, duration=1, instrument=harpsichord
Note: beat=21, position=4, pitch=E4, duration=2, instrument=harpsichord
Note: beat=21, position=6, pitch=A3, duration=2, instrument=harpsichord
Note: beat=21, position=8, pitch=C4, duration=1, instrument=harpsichord
Note: beat=21, position=9, pitch=E4, duration=1, instrument=harpsichord
Note: beat=21, position=10, pitch=G4, duration=2, instrument=harpsichord
Note: beat=22, position=0, pitch=F#4, duration=2, instrument=harpsichord
Note: beat=22, position=2, pitch=D4, duration=1, instrument=harpsichord
Note: beat=22, position=3, pitch=B3, duration=1, instrument=harpsichord
Note: beat=22, position=4, pitch=D4, duration=2, instrument=harpsichord
Note: beat=22, position=6, pitch=G3, duration=2, instrument=harpsichord
Note: beat=22, position=8, pitch=B3, duration=1, instrument=harpsichord
Note: beat=22, position=9, pitch=D4, duration=1, instrument=harpsichord
Note: beat=22, position=10, pitch=F#4, duration=2, instrument=harpsichord
Note: beat=23, position=0, pitch=E4, duration=2, instrument=harpsichord
Note: beat=23, position=2, pitch=C4, duration=1, instrument=harpsichord
Note: beat=23, position=3, pitch=A3, duration=1, instrument=harpsichord
Note: beat=23, position=4, pitch=C4, duration=2, instrument=harpsichord
Note: beat=23, position=6, pitch=F#3, duration=2, instrument=harpsichord
Note: beat=23, position=8, pitch=A3, duration=1, instrument=harpsichord
Note: beat=23, position=9, pitch=C4, duration=5, instrument=harpsichord
Note: beat=24, position=2, pitch=B3, duration=1, instrument=harpsichord
Note: beat=24, position=3, pitch=C4, duration=1, instrument=harpsichord
Note: beat=24, position=4, pitch=A3, duration=2, instrument=harpsichord
Note: beat=24, position=6, pitch=B3, duration=3, instrument=harpsichord
Note: beat=24, position=9, pitch=B2, duration=3, instrument=harpsichord
Note: beat=25, position=0, pitch=E3, duration=2, instrument=harpsichord
Note: beat=25, position=2, pitch=E4, duration=1, instrument=harpsichord
Note: beat=25, position=3, pitch=B3, duration=1, instrument=harpsichord
Note: beat=25, position=4, pitch=G3, duration=2, instrument=harpsichord
Note: beat=25, position=6, pitch=E3, duration=2, instrument=harpsichord
