Start of song
Instrument: harpsichord
Start of notes
Note: beat=0, position=0, pitch=G3, duration=3, instrument=harpsichord
Note: beat=16, position=0, pitch=D3, duration=2, instrument=harpsichord
Note: beat=16, position=2, pitch=D#3, duration=1, instrument=harpsichord
Note: beat=16, position=3, pitch=C3, duration=1, instrument=harpsichord
Note: beat=16, position=4, pitch=D3, duration=2, instrument=harpsichord
Note: beat=16, position=6, pitch=A#2, duration=6, instrument=harpsichord
Note: beat=17, position=0, pitch=A#3, duration=6, instrument=harpsichord
Note: beat=18, position=0, pitch=D#3, duration=2, instrument=harpsichord
Note: beat=18, position=2, pitch=F3, duration=1, instrument=harpsichord
Note: beat=18, position=3, pitch=G3, duration=1, instrument=harpsichord
Note: beat=18, position=4, pitch=F3, duration=2, instrument=harpsichord
Note: beat=18, position=6, pitch=D#3, duration=2, instrument=harpsichord
Note: beat=18, position=8, pitch=F3, duration=1, instrument=harpsichord
Note: beat=18, position=9, pitch=D3, duration=1, instrument=harpsichord
Note: beat=18, position=10, pitch=D#3, duration=2, instrument=harpsichord
Note: beat=19, position=0, pitch=C3, duration=2, instrument=harpsichord
Note: beat=19, position=2, pitch=D3, duration=1, instrument=harpsichord
Note: beat=19, position=3, pitch=A#2, duration=1, instrument=harpsichord
Note: beat=19, position=4, pitch=C3, duration=2, instrument=harpsichord
Note: beat=19, position=6, pitch=A2, duration=6, instrument=harpsichord
Note: beat=20, position=0, pitch=A3, duration=6, instrument=harpsichord
Note: beat=21, position=0, pitch=D3, duration=6, instrument=harpsichord
Note: beat=21, position=6, pitch=A#2, duration=6, instrument=harpsichord
Note: beat=22, position=0, pitch=G2, duration=6, instrument=harpsichord
Note: beat=22, position=6, pitch=D3, duration=6, instrument=harpsichord
Note: beat=23, position=0, pitch=F#3, duration=6, instrument=harpsichord
Note: beat=23, position=6, pitch=D3, duration=6, instrument=harpsichord
Note: beat=24, position=0, pitch=G3, duration=6, instrument=harpsichord
Note: beat=24, position=6, pitch=A#3, duration=6, instrument=harpsichord
Note: beat=25, position=0, pitch=C4, duration=6, instrument=harpsichord
Note: beat=25, position=6, pitch=F3, duration=6, instrument=harpsichord
Note: beat=26, position=0, pitch=A3, duration=6, instrument=harpsichord
Note: beat=26, position=6, pitch=A#3, duration=6, instrument=harpsichord
Note: beat=27, position=0, pitch=E3, duration=6, instrument=harpsichord
Note: beat=27, position=6, pitch=G3, duration=6, instrument=harpsichord
Note: beat=28, position=0, pitch=A3, duration=6, instrument=harpsichord
Note: beat=28, position=6, pitch=D3, duration=6, instrument=harpsichord
Note: beat=29, position=0, pitch=E3, duration=6, instrument=harpsichord
Note: beat=29, position=6, pitch=F3, duration=6, instrument=harpsichord
Note: beat=30, position=0, pitch=G3, duration=6, instrument=harpsichord
Note: beat=30, position=6, pitch=A#3, duration=6, instrument=harpsichord
Note: beat=31, position=0, pitch=G3, duration=6, instrument=harpsichord
Note: beat=31, position=6, pitch=A2, duration=3, instrument=harpsichord
Note: beat=31, position=9, pitch=A3, duration=1, instrument=harpsichord
Note: beat=31, position=10, pitch=G3, duration=2, instrument=harpsichord
Note: beat=32, position=0, pitch=F3, duration=2, instrument=harpsichord
Note: beat=32, position=2, pitch=G3, duration=1, instrument=harpsichord
Note: beat=32, position=3, pitch=E3, duration=1, instrument=harpsichord
Note: beat=32, position=4, pitch=F3, duration=2, instrument=harpsichord
Note: beat=32, position=6, pitch=D3, duration=2, instrument=harpsichord
Note: beat=32, position=8, pitch=E3, duration=1, instrument=harpsichord
Note: beat=32, position=9, pitch=C3, duration=1, instrument=harpsichord
Note: beat=32, position=10, pitch=D3, duration=2, instrument=harpsichord
Note: beat=33, position=0, pitch=A#2, duration=3, instrument=harpsichord
Note: beat=33, position=3, pitch=A#3, duration=1, instrument=harpsichord
Note: beat=33, position=4, pitch=A3, duration=2, instrument=harpsichord
Note: beat=33, position=6, pitch=G3, duration=2, instrument=harpsichord
Note: beat=33, position=8, pitch=A3, duration=1, instrument=harpsichord
Note: beat=33, position=9, pitch=F3, duration=1, instrument=harpsichord
Note: beat=33, position=10, pitch=G3, duration=2, instrument=harpsichord
Note: beat=34, position=0, pitch=E3, duration=2, instrument=harpsichord
Note: beat=34, position=2, pitch=F3, duration=1, instrument=harpsichord
Note: beat=34, position=3, pitch=D3, duration=1, instrument=harpsichord
Note: beat=34, position=4, pitch=E3, duration=2, instrument=harpsichord
Note: beat=34, position=6, pitch=C#3, duration=6, instrument=harpsichord
Note: beat=35, position=0, pitch=C#4, duration=6, instrument=harpsichord
Note: beat=35, position=6, pitch=D4, duration=6, instrument=harpsichord
Note: beat=36, position=0, pitch=G3, duration=6, instrument=harpsichord
Note: beat=36, position=6, pitch=A3, duration=6, instrument=harpsichord
Note: beat=37, position=0, pitch=A2, duration=6, instrument=harpsichord
Note: beat=37, position=6, pitch=D3, duration=3, instrument=harpsichord
Note: beat=37, position=9, pitch=A3, duration=1, instrument=harpsichord
Note: beat=37, position=10, pitch=G3, duration=2, instrument=harpsichord
Note: beat=38, position=0, pitch=F3, duration=2, instrument=harpsichord
Note: beat=38, position=2, pitch=G3, duration=1, instrument=harpsichord
Note: beat=38, position=3, pitch=E3, duration=1, instrument=harpsichord
Note: beat=38, position=4, pitch=F3, duration=2, instrument=harpsichord
Note: beat=38, position=6, pitch=D3, duration=2, instrument=harpsichord
Note: beat=38, position=8, pitch=E3, duration=1, instrument=harpsichord
Note: beat=38, position=9, pitch=C3, duration=1, instrument=harpsichord
Note: beat=38, position=10, pitch=D3, duration=2, instrument=harpsichord
Note: beat=39, position=0, pitch=A#2, duration=3, instrument=harpsichord
Note: beat=39, position=3, pitch=A#3, duration=1, instrument=harpsichord
Note: beat=39, position=4, pitch=A3, duration=2, instrument=harpsichord
Note: beat=39, position=6, pitch=G3, duration=2, instrument=harpsichord
Note: beat=39, position=8, pitch=A3, duration=1, instrument=harpsichord
Note: beat=39, position=9, pitch=F3, duration=1, instrument=harpsichord
Note: beat=39, position=10, pitch=G3, duration=2, instrument=harpsichord
Note: beat=40, position=0, pitch=E3, duration=2, instrument=harpsichord
Note: beat=40, position=2, pitch=F3, duration=1, instrument=harpsichord
Note: beat=40, position=3, pitch=D3, duration=1, instrument=harpsichord
Note: beat=40, position=4, pitch=E3, duration=2, instrument=harpsichord
Note: beat=40, position=6, pitch=C#3, duration=6, instrument=harpsichord
Note: beat=41, position=0, pitch=A2, duration=6, instrument=harpsichord
Note: beat=41, position=6, pitch=D3, duration=6, instrument=harpsichord
Note: beat=42, position=0, pitch=G2, duration=6, instrument=harpsichord
Note: beat=42, position=6, pitch=A2, duration=12, instrument=harpsichord
Note: beat=43, position=6, pitch=D3, duration=3, instrument=harpsichord
Note: beat=43, position=9, pitch=D#3, duration=3, instrument=harpsichord
Note: beat=44, position=0, pitch=D3, duration=3, instrument=harpsichord
Note: beat=44, position=3, pitch=C3, duration=3, instrument=harpsichord
Note: beat=44, position=6, pitch=A#2, duration=3, instrument=harpsichord
Note: beat=44, position=9, pitch=A2, duration=3, instrument=harpsichord
Note: beat=45, position=0, pitch=A#2, duration=3, instrument=harpsichord
Note: beat=45, position=3, pitch=A2, duration=3, instrument=harpsichord
Note: beat=45, position=6, pitch=A#2, duration=3, instrument=harpsichord
Note: beat=45, position=9, pitch=C3, duration=3, instrument=harpsichord
Note: beat=46, position=0, pitch=D3, duration=3, instrument=harpsichord
Note: beat=46, position=3, pitch=D#3, duration=3, instrument=harpsichord
Note: beat=46, position=6, pitch=F3, duration=3, instrument=harpsichord
Note: beat=46, position=9, pitch=G3, duration=3, instrument=harpsichord
Note: beat=47, position=0, pitch=F3, duration=3, instrument=harpsichord
Note: beat=47, position=3, pitch=D#3, duration=3, instrument=harpsichord
Note: beat=47, position=6, pitch=D3, duration=3, instrument=harpsichord
Note: beat=47, position=9, pitch=A#2, duration=3, instrument=harpsichord
Note: beat=48, position=0, pitch=D#3, duration=3, instrument=harpsichord
Note: beat=48, position=3, pitch=C3, duration=3, instrument=harpsichord
Note: beat=48, position=6, pitch=F3, duration=3, instrument=harpsichord
Note: beat=48, position=9, pitch=D#3, duration=3, instrument=harpsichord
Note: beat=49, position=0, pitch=F3, duration=3, instrument=harpsichord
Note: beat=49, position=3, pitch=F2, duration=3, instrument=harpsichord
Note: beat=49, position=6, pitch=A#2, duration=3, instrument=harpsichord
Note: beat=49, position=9, pitch=A3, duration=3, instrument=harpsichord
Note: beat=50, position=0, pitch=A#3, duration=3, instrument=harpsichord
Note: beat=50, position=3, pitch=C4, duration=3, instrument=harpsichord
Note: beat=50, position=6, pitch=D4, duration=3, instrument=harpsichord
Note: beat=50, position=9, pitch=C4, duration=3, instrument=harpsichord
Note: beat=51, position=0, pitch=A#3, duration=3, instrument=harpsichord
Note: beat=51, position=3, pitch=G3, duration=3, instrument=harpsichord
Note: beat=51, position=6, pitch=C4, duration=3, instrument=harpsichord
Note: beat=51, position=9, pitch=A#3, duration=3, instrument=harpsichord
Note: beat=52, position=0, pitch=C4, duration=3, instrument=harpsichord
Note: beat=52, position=3, pitch=C3, duration=3, instrument=harpsichord
Note: beat=52, position=6, pitch=F3, duration=3, instrument=harpsichord
Note: beat=52, position=9, pitch=E3, duration=3, instrument=harpsichord
Note: beat=53, position=0, pitch=F3, duration=3, instrument=harpsichord
Note: beat=53, position=3, pitch=G3, duration=3, instrument=harpsichord
Note: beat=53, position=6, pitch=A3, duration=3, instrument=harpsichord
Note: beat=53, position=9, pitch=F3, duration=3, instrument=harpsichord
Note: beat=54, position=0, pitch=D4, duration=2, instrument=harpsichord
Note: beat=54, position=2, pitch=D#4, duration=1, instrument=harpsichord
Note: beat=54, position=3, pitch=F4, duration=1, instrument=harpsichord
Note: beat=54, position=4, pitch=D#4, duration=2, instrument=harpsichord
Note: beat=54, position=6, pitch=D4, duration=2, instrument=harpsichord
Note: beat=54, position=8, pitch=D#4, duration=1, instrument=harpsichord
Note: beat=54, position=9, pitch=C4, duration=1, instrument=harpsichord
Note: beat=54, position=10, pitch=D4, duration=2, instrument=harpsichord
Note: beat=55, position=0, pitch=B3, duration=2, instrument=harpsichord
Note: beat=55, position=2, pitch=C4, duration=1, instrument=harpsichord
Note: beat=55, position=3, pitch=A3, duration=1, instrument=harpsichord
Note: beat=55, position=4, pitch=B3, duration=2, instrument=harpsichord
Note: beat=55, position=6, pitch=G3, duration=3, instrument=harpsichord
Note: beat=55, position=9, pitch=A3, duration=3, instrument=harpsichord
Note: beat=56, position=0, pitch=B3, duration=3, instrument=harpsichord
Note: beat=56, position=3, pitch=G3, duration=3, instrument=harpsichord
Note: beat=56, position=6, pitch=C4, duration=6, instrument=harpsichord
Note: beat=57, position=0, pitch=F3, duration=6, instrument=harpsichord
Note: beat=57, position=6, pitch=G3, duration=6, instrument=harpsichord
Note: beat=58, position=0, pitch=G2, duration=6, instrument=harpsichord
Note: beat=58, position=6, pitch=C4, duration=2, instrument=harpsichord
Note: beat=58, position=8, pitch=D4, duration=1, instrument=harpsichord
Note: beat=58, position=9, pitch=D#4, duration=1, instrument=harpsichord
Note: beat=58, position=10, pitch=D4, duration=2, instrument=harpsichord
Note: beat=59, position=0, pitch=C4, duration=2, instrument=harpsichord
Note: beat=59, position=2, pitch=D4, duration=1, instrument=harpsichord
Note: beat=59, position=3, pitch=A#3, duration=1, instrument=harpsichord
Note: beat=59, position=4, pitch=C4, duration=2, instrument=harpsichord
Note: beat=59, position=6, pitch=A3, duration=2, instrument=harpsichord
Note: beat=59, position=8, pitch=A#3, duration=1, instrument=harpsichord
Note: beat=59, position=9, pitch=G3, duration=1, instrument=harpsichord
Note: beat=59, position=10, pitch=A3, duration=2, instrument=harpsichord
Note: beat=60, position=0, pitch=F3, duration=3, instrument=harpsichord
Note: beat=60, position=3, pitch=G3, duration=3, instrument=harpsichord
Note: beat=60, position=6, pitch=A3, duration=3, instrument=harpsichord
Note: beat=60, position=9, pitch=F3, duration=3, instrument=harpsichord
Note: beat=61, position=0, pitch=G3, duration=6, instrument=harpsichord
Note: beat=61, position=6, pitch=D3, duration=3, instrument=harpsichord
Note: beat=61, position=9, pitch=D#3, duration=3, instrument=harpsichord
Note: beat=62, position=0, pitch=F3, duration=6, instrument=harpsichord
Note: beat=62, position=6, pitch=F2, duration=6, instrument=harpsichord
Note: beat=63, position=0, pitch=A#2, duration=6, instrument=harpsichord
Note: beat=63, position=6, pitch=G2, duration=6, instrument=harpsichord
Note: beat=64, position=0, pitch=A#2, duration=6, instrument=harpsichord
Note: beat=64, position=6, pitch=C3, duration=6, instrument=harpsichord
Note: beat=65, position=0, pitch=A2, duration=6, instrument=harpsichord
Note: beat=65, position=6, pitch=C3, duration=6, instrument=harpsichord
Note: beat=66, position=0, pitch=D3, duration=6, instrument=harpsichord
Note: beat=66, position=6, pitch=A#2, duration=6, instrument=harpsichord
Note: beat=67, position=0, pitch=G2, duration=6, instrument=harpsichord
Note: beat=67, position=6, pitch=D#3, duration=6, instrument=harpsichord
Note: beat=68, position=0, pitch=G3, duration=6, instrument=harpsichord
Note: beat=68, position=6, pitch=D#3, duration=6, instrument=harpsichord
Note: beat=69, position=0, pitch=C3, duration=6, instrument=harpsichord
Note: beat=69, position=6, pitch=A2, duration=6, instrument=harpsichord
Note: beat=70, position=0, pitch=C3, duration=6, instrument=harpsichord
Note: beat=70, position=6, pitch=D3, duration=6, instrument=harpsichord
Note: beat=71, position=0, pitch=F#3, duration=6, instrument=harpsichord
Note: beat=71, position=6, pitch=D3, duration=6, instrument=harpsichord
Note: beat=72, position=0, pitch=G3, duration=6, instrument=harpsichord
Note: beat=72, position=6, pitch=F3, duration=6, instrument=harpsichord
Note: beat=73, position=0, pitch=D#3, duration=6, instrument=harpsichord
Note: beat=73, position=6, pitch=D3, duration=6, instrument=harpsichord
Note: beat=74, position=0, pitch=E3, duration=6, instrument=harpsichord
Note: beat=74, position=6, pitch=F#3, duration=6, instrument=harpsichord
Note: beat=75, position=0, pitch=G3, duration=6, instrument=harpsichord
Note: beat=75, position=6, pitch=F3, duration=6, instrument=harpsichord
Note: beat=76, position=0, pitch=D#3, duration=6, instrument=harpsichord
Note: beat=76, position=6, pitch=D3, duration=3, instrument=harpsichord
Note: beat=76, position=9, pitch=D4, duration=1, instrument=harpsichord
Note: beat=76, position=10, pitch=C4, duration=2, instrument=harpsichord
Note: beat=77, position=0, pitch=A#3, duration=2, instrument=harpsichord
Note: beat=77, position=2, pitch=C4, duration=1, instrument=harpsichord
Note: beat=77, position=3, pitch=A3, duration=1, instrument=harpsichord
Note: beat=77, position=4, pitch=A#3, duration=2, instrument=harpsichord
Note: beat=77, position=6, pitch=G3, duration=2, instrument=harpsichord
Note: beat=77, position=8, pitch=A3, duration=1, instrument=harpsichord
Note: beat=77, position=9, pitch=F3, duration=1, instrument=harpsichord
Note: beat=77, position=10, pitch=G3, duration=2, instrument=harpsichord
Note: beat=78, position=0, pitch=D#3, duration=3, instrument=harpsichord
Note: beat=78, position=3, pitch=D#4, duration=1, instrument=harpsichord
Note: beat=78, position=4, pitch=D4, duration=2, instrument=harpsichord
Note: beat=78, position=6, pitch=C4, duration=2, instrument=harpsichord
Note: beat=78, position=8, pitch=D4, duration=1, instrument=harpsichord
Note: beat=78, position=9, pitch=A#3, duration=1, instrument=harpsichord
Note: beat=78, position=10, pitch=C4, duration=2, instrument=harpsichord
Note: beat=79, position=0, pitch=A3, duration=2, instrument=harpsichord
Note: beat=79, position=2, pitch=A#3, duration=1, instrument=harpsichord
Note: beat=79, position=3, pitch=G3, duration=1, instrument=harpsichord
Note: beat=79, position=4, pitch=A3, duration=2, instrument=harpsichord
Note: beat=79, position=6, pitch=F#3, duration=6, instrument=harpsichord
Note: beat=80, position=0, pitch=D3, duration=6, instrument=harpsichord
Note: beat=80, position=6, pitch=G3, duration=6, instrument=harpsichord
Note: beat=81, position=0, pitch=C3, duration=6, instrument=harpsichord
Note: beat=81, position=6, pitch=D3, duration=6, instrument=harpsichord
Note: beat=82, position=0, pitch=D2, duration=6, instrument=harpsichord
Note: beat=82, position=6, pitch=G2, duration=3, instrument=harpsichord
Note: beat=82, position=9, pitch=D3, duration=1, instrument=harpsichord
Note: beat=82, position=10, pitch=C3, duration=2, instrument=harpsichord
Note: beat=83, position=0, pitch=A#2, duration=2, instrument=harpsichord
Note: beat=83, position=2, pitch=C3, duration=1, instrument=harpsichord
Note: beat=83, position=3, pitch=A2, duration=1, instrument=harpsichord
Note: beat=83, position=4, pitch=A#2, duration=2, instrument=harpsichord
Note: beat=83, position=6, pitch=G2, duration=2, instrument=harpsichord
Note: beat=83, position=8, pitch=A2, duration=1, instrument=harpsichord
Note: beat=83, position=9, pitch=F2, duration=1, instrument=harpsichord
Note: beat=83, position=10, pitch=G2, duration=2, instrument=harpsichord
Note: beat=84, position=0, pitch=D#2, duration=3, instrument=harpsichord
Note: beat=84, position=3, pitch=D#3, duration=1, instrument=harpsichord
Note: beat=84, position=4, pitch=D3, duration=2, instrument=harpsichord
Note: beat=84, position=6, pitch=C3, duration=2, instrument=harpsichord
Note: beat=84, position=8, pitch=D3, duration=1, instrument=harpsichord
Note: beat=84, position=9, pitch=A#2, duration=1, instrument=harpsichord
Note: beat=84, position=10, pitch=C3, duration=2, instrument=harpsichord
Note: beat=85, position=0, pitch=A2, duration=2, instrument=harpsichord
Note: beat=85, position=2, pitch=A#2, duration=1, instrument=harpsichord
Note: beat=85, position=3, pitch=G2, duration=1, instrument=harpsichord
Note: beat=85, position=4, pitch=A2, duration=2, instrument=harpsichord
Note: beat=85, position=6, pitch=F#2, duration=6, instrument=harpsichord
Note: beat=86, position=0, pitch=D3, duration=6, instrument=harpsichord
Note: beat=86, position=6, pitch=D#3, duration=6, instrument=harpsichord
Note: beat=87, position=0, pitch=C3, duration=6, instrument=harpsichord
Note: beat=87, position=6, pitch=D3, duration=6, instrument=harpsichord
Note: beat=88, position=0, pitch=D2, duration=6, instrument=harpsichord
Note: beat=88, position=6, pitch=G2, duration=18, instrument=harpsichord
End of song
