step,train_loss,valid_loss,type_loss,beat_loss,position_loss,pitch_loss,duration_loss,instrument_loss
100,13.525111198425293,13.03411786556244,0.07964980690740049,1.1110493928194045,0.23496114127337933,0.8644600123167038,0.4635864935815334,0.5048226345330477
200,11.68481674194336,11.493802118301392,0.053589136246591805,1.0218745425343514,0.18591157011687756,0.7957975938916206,0.409555209428072,0.40672247521579263
300,9.1945876121521,10.293097972869873,0.038547955569811165,0.9358633503317833,0.14933053264394403,0.737084050476551,0.36860965862870215,0.34383895695209504
400,9.628073787689209,9.30458322763443,0.02926840391010046,0.8519709795713425,0.1214765191078186,0.6877178564667702,0.33718923255801203,0.2985227981582284
500,8.91425929069519,8.514178121089936,0.023503700137371197,0.7750615894794464,0.10177795086055993,0.645203459262848,0.3146772272884846,0.26832061940804125
600,7.708008432388306,7.863494050502777,0.019695719215087594,0.707645583152771,0.08815291780047119,0.6094027839601039,0.2977501001209021,0.24322640975005924
700,7.737545442581177,7.24084290266037,0.01702974459622055,0.6377309426665306,0.07626926484517753,0.5747091412544251,0.2822645176202059,0.2222071153577417
800,6.591620445251465,6.721913468837738,0.014673255683737807,0.5793391890823841,0.0672112722415477,0.5477756567299366,0.2703407216817141,0.2011382755357772
900,5.940253496170044,6.233800613880158,0.01305324909335468,0.5193757012486457,0.059764682035893205,0.52125736027956,0.2590895174071193,0.18590961983427406
1000,6.932433605194092,5.8343326330184935,0.011793406822835095,0.4689092695713043,0.05397114781662822,0.5000519759953022,0.2504308449104428,0.17342652457300572
1100,5.297474575042725,5.473178279399872,0.01070562438981142,0.42467876300215723,0.049311769963242116,0.4815273925662041,0.24194208029657602,0.1601289393613115
1200,5.310243320465088,5.148504602909088,0.009707680411520415,0.38626397512853144,0.04545838602352888,0.4641623720526695,0.2354512156918645,0.14608252765610813
1300,5.495669317245484,4.8443380236625675,0.00891046476608608,0.34744349792599677,0.041781301330775025,0.4478676378726959,0.22875696886330843,0.13632464009569958
1400,5.012337255477905,4.596823513507843,0.008239781612064689,0.31624353900551794,0.03890229789540171,0.43589884378016,0.2227428440004587,0.12717856087256224
1500,4.354486751556396,4.368748307228088,0.007618534524226561,0.286462701484561,0.03637080246116966,0.4241019908338785,0.21787613704800607,0.11975692069390789
1600,5.405822658538819,4.156480091810226,0.007124416712031234,0.2609491139650345,0.0344150356715545,0.41309640631079675,0.2135593192651868,0.10997572433552705
1700,3.404493570327759,3.9647478997707366,0.006622730757226236,0.2381660407409072,0.0326988494140096,0.4033535599708557,0.2099697904661298,0.10037598901544698
1800,5.223314952850342,3.7963554739952086,0.006138812277640682,0.2180540356785059,0.031157582614105193,0.3948866244405508,0.20590989515185357,0.09294190426007845
1900,3.6565107822418215,3.6460390627384185,0.005789046072459314,0.19847166035324335,0.029434802860487254,0.3866257626563311,0.2024521604180336,0.088736323826015
2000,4.1913405656814575,3.513043090701103,0.005491714630625211,0.1815641088411212,0.02803850594209507,0.37901111915707586,0.19920828249305486,0.08494705165503547
2100,3.3605644702911377,3.3875153452157973,0.00513143852876965,0.16735817156732083,0.026983313111122696,0.3724891062825918,0.19666062435135245,0.07825617543421685
2200,3.562048888206482,3.2764855563640594,0.004827009799191729,0.15448937118053435,0.02587468458805233,0.3664478551596403,0.19416329879313707,0.07331917111296207
2300,3.5027043342590334,3.181929698586464,0.00456206697417656,0.14272715598344804,0.025058458116836844,0.3609980709850788,0.1915904893539846,0.07054618057445623
2400,2.985056495666504,3.091443565487862,0.004335633298614994,0.1313009699806571,0.024255120533052833,0.3562861982733011,0.18950994350016118,0.06717302708420902
2500,3.097062337398529,3.0076584428548814,0.004113237795536406,0.12178549822419882,0.023491424426902087,0.35147063098847864,0.18730095522478224,0.06375286272959783
2600,3.1280660390853883,2.9351096719503404,0.003918242098006885,0.11298766182735562,0.02291065113386139,0.34733727127313613,0.1855986572802067,0.06102494019141887
2700,2.994521689414978,2.8682410269975662,0.0037552107911324128,0.1051227199845016,0.022392612206749617,0.3433844678103924,0.18376694517210126,0.058638302664621736
2800,3.3113839387893678,2.803244745731354,0.0035198565827158747,0.09871526472270489,0.021904744510538875,0.3403495691716671,0.18226761724799873,0.054054137037019244
2900,3.358707582950592,2.743121734261513,0.0033617693930864333,0.09205536721274257,0.021420431928709148,0.33714885003864764,0.18079414144158362,0.0509998792083934
3000,3.205341362953186,2.688004586100578,0.00323441436921712,0.08601790573447943,0.021003642212599517,0.3339002888649702,0.1795075202360749,0.048337378806900234
3100,3.121468925476074,2.64177448451519,0.00312262624502182,0.08116769390180707,0.020614162553101778,0.3309477724134922,0.17826258903369308,0.04632878562260885
3200,3.1533405065536497,2.599588766694069,0.002988387415098259,0.07675576992332936,0.020273237000219525,0.3284278575330973,0.1769227420911193,0.0445292025397066
3300,2.2939473390579224,2.562243899703026,0.0028799955660360867,0.07253187014721334,0.019983414618764073,0.32621861845254896,0.17584311189129948,0.043103964140755124
3400,3.2543165922164916,2.5271245568990706,0.002807912950811442,0.06846080021932721,0.019749297457747162,0.32416140139102934,0.17474823752418162,0.041853497075499034
3500,2.3810192584991454,2.489497980475426,0.0027137971927004402,0.06480240095406771,0.019432293460704388,0.3220128308981657,0.17386829052120448,0.03954488357412629
3600,2.817500591278076,2.457447609305382,0.0026428456905705387,0.061348905647173525,0.019156312011182307,0.31991649605333805,0.17294951220974325,0.03834782270423602
3700,2.6649671316146852,2.429619300365448,0.002587814898288343,0.05825789808295667,0.01895948893507011,0.3181454610079527,0.17195854391902685,0.03749562003358733
